# ieee-oui.txt -- Ethernet vendor OUI file for arp-scan
#
# This file contains the Ethernet vendor OUIs for arp-scan.  These are used
# to determine the vendor for a give Ethernet interface given the MAC address.
#
# Each line of this file contains an OUI-vendor mapping in the form:
#
# <OUI><TAB><Vendor>
#
# Where <OUI> is the first three bytes of the MAC address in hex, and <Vendor>
# is the name of the vendor.
#
# Blank lines and lines beginning with "#" are ignored.
#
# This file was automatically generated by get-oui at 2017-03-03 14:08:26
# using data from http://linuxnet.ca/ieee/oui.txt
#
# Do not edit this file.  If you want to add additional MAC-Vendor mappings,
# edit the file mac-vendor.txt instead.
#
E043DB	Shenzhen ViewAt Technology Co. Ltd
C0A1A2	MarqMetrix
00F663	Cisco Systems Inc.
341290	Treeview Co. Ltd
F40A4A	IndUSNET Communication Technology Co. Ltd
E8377A	ZyXEL Communications Corp
04BF6D	ZyXEL Communications Corp
00A0C5	ZyXEL Communications Corp
107BEF	ZyXEL Communications Corp
C0C976	Shenzhen TINNO Mobile Technology Corp.
14C913	LG Electronics
680715	Intel Corporation
A09E1A	Polar Electro Oy
3CB6B7	vivo Mobile Communication Co. Ltd
D0B2C4	Technicolor CH USA Inc.
FC94E3	Technicolor CH USA Inc.
FC528D	Technicolor CH USA Inc.
D84A87	OI Electric Co. Ltd
BC307D	Wistron Neweb Corporation
5410EC	Microchip Technology Inc.
309BAD	BBK Educational Electronics Corp. Ltd
001BB1	Wistron Neweb Corporation
000B6B	Wistron Neweb Corporation
AC9B0A	Sony Corporation
4813F3	BBK Educational Electronics Corp. Ltd
74B472	Ciesse
483C0C	Huawei Technologies Co. Ltd
4C6641	Samsung Electro-Mechanics(Thailand)
C8755B	Quantify Technology Pty. Ltd
1C57D8	Kraftway Corporation PLC
002397	Westell Technologies Inc.
00600F	Westell Technologies Inc.
00E0DD	Zenith Electronics Corporation
50CE75	Measy Electronics Co. Ltd
047D7B	Quanta Computer Inc.
88124E	Qualcomm Inc.
649C81	Qualcomm Inc.
001B32	QLogic Corporation
001E21	Qisda Corporation
0017CA	Qisda Corporation
0014D1	TRENDnet, Inc.
001C7E	Toshiba
001C14	VMware, Inc.
90A210	United Telecoms Ltd
E02A82	Universal Global Scientific Industrial Co. Ltd
001641	Universal Global Scientific Industrial Co. Ltd
4C334E	Hightech
60E3AC	LG Electronics (Mobile Communications)
001315	Sony Interactive Entertainment Inc.
001FA7	Sony Interactive Entertainment Inc.
A8E3EE	Sony Interactive Entertainment Inc.
709E29	Sony Interactive Entertainment Inc.
FC0FE6	Sony Interactive Entertainment Inc.
0050C2	IEEE Registration Authority
CC79CF	Shenzhen RF-Link Technology Co. Ltd
544E45	Private
141FBA	IEEE Registration Authority
800A80	IEEE Registration Authority
A44F29	IEEE Registration Authority
5CF286	IEEE Registration Authority
64FB81	IEEE Registration Authority
E4956E	IEEE Registration Authority
C88ED1	IEEE Registration Authority
78C2C0	IEEE Registration Authority
885D90	IEEE Registration Authority
3C39E7	IEEE Registration Authority
A0BB3E	IEEE Registration Authority
6CB9C5	Delta Networks, Inc.
7CFC3C	Visteon Corporation
58BC8F	Cognitive Systems Corp.
54DC1D	Yulong Computer Telecommunication Scientific (Shenzhen) Co. Ltd
3CBDD8	LG Electronics Inc
0C4885	LG Electronics (Mobile Communications)
88C9D0	LG Electronics (Mobile Communications)
700514	LG Electronics (Mobile Communications)
E892A4	LG Electronics (Mobile Communications)
A816B2	LG Electronics (Mobile Communications)
C4438F	LG Electronics (Mobile Communications)
2021A5	LG Electronics (Mobile Communications)
6CD68A	LG Electronics (Mobile Communications)
001E75	LG Electronics (Mobile Communications)
0026E2	LG Electronics (Mobile Communications)
001FE3	LG Electronics (Mobile Communications)
2C54CF	LG Electronics (Mobile Communications)
F895C7	LG Electronics (Mobile Communications)
4888CA	Motorola (Wuhan) Mobility Technologies Communication Co. Ltd
74B57E	zte Corporation
540955	zte Corporation
88A6C6	Sagemcom Broadband SAS
000F59	Phonak AG
000EF4	Kasda Networks Inc
000AEB	TP-Link Technologies Co. Ltd
2C3731	Shenzhen Yifang Digital Technology Co. Ltd
001FBA	Boyoung Tech
C4047B	Shenzhen YOUHUA Technology Co. Ltd
A42940	Shenzhen YOUHUA Technology Co. Ltd
3C3300	Shenzhen Bilian electronic Co. Ltd
20F41B	Shenzhen Bilian electronic Co. Ltd
3092F6	Shanghai Sunmon Communication Technogy Co. Ltd
7C2064	Alcatel-Lucent IPD
E4A1E6	Alcatel-Lucent Shanghai Bell Co. Ltd
000B34	ShangHai Broadband Technologies Co.Ltd
38256B	Microsoft Mobile Oy
203AEF	Sivantos GmbH
001E40	Shanghai DareGlobal Technologies Co. Ltd
80A1D7	Shanghai DareGlobal Technologies Co. Ltd
D8FB68	Cloud Corner Ltd
C09134	ProCurve Networking by HP
4CB21C	Maxphotonics Co. Ltd
D8C46A	Murata Manufacturing Co. Ltd
849866	Samsung Electronics Co. Ltd
002162	Nortel Networks
000F06	Nortel Networks
000342	Nortel Networks
00159B	Nortel Networks
00140E	Nortel Networks
0016CA	Nortel Networks
001969	Nortel Networks
0019E1	Nortel Networks
001A8F	Nortel Networks
E89309	Samsung Electronics Co. Ltd
001988	Wi2Wi, Inc
4CFACA	Cambridge Industries(Group) Co. Ltd
2C9D1E	Huawei Technologies Co. Ltd
C88D83	Huawei Technologies Co. Ltd
080087	Xyplex, Inc.
00B0B3	Xstreamis PLC
14825B	Hefei Radio Communication Technology Co. Ltd
00562B	Cisco Systems Inc.
24F57E	HWH Co. Ltd
943DC9	Asahi Net, Inc.
080028	Texas Instruments
0012D2	Texas Instruments
D494A1	Texas Instruments
78C5E5	Texas Instruments
847E40	Texas Instruments
001832	Texas Instruments
90D7EB	Texas Instruments
BC0DA5	Texas Instruments
7C8EE4	Texas Instruments
D8543A	Texas Instruments
884AEA	Texas Instruments
B09122	Texas Instruments
209148	Texas Instruments
A0F6FD	Texas Instruments
D4F513	Texas Instruments
0017EC	Texas Instruments
0017E5	Texas Instruments
C83E99	Texas Instruments
8C8B83	Texas Instruments
D0B5C2	Texas Instruments
84EB18	Texas Instruments
6CECEB	Texas Instruments
985DAD	Texas Instruments
E8EB11	Texas Instruments
D43639	Texas Instruments
A043DB	Sitael S.p.A.
E4BEED	Netcore Technology Inc.
84EF18	Intel Corporation
84C1C1	Juniper Networks
A8A648	Qingdao Hisense Communications Co. Ltd
305890	Frontier Silicon Ltd
002261	Frontier Silicon Ltd
049F81	NetScout Systems, Inc.
00808C	NetScout Systems, Inc.
C4F5A5	Kumalift Co. Ltd
98F058	Lynxspring, Incl.
24E43F	Wenzhou Kunmei Communication Technology Co. Ltd
A00460	Netgear
240AC4	Espressif Inc.
E4C1F1	SHENZHEN SPOTMAU InfORMATION TECHNOLIGY Co. Ltd
240DC2	TCT mobile Ltd
14DDE5	Mpmkvvcl
0016DB	Samsung Electronics Co. Ltd
5C3C27	Samsung Electronics Co. Ltd
10D542	Samsung Electronics Co. Ltd
A0821F	Samsung Electronics Co. Ltd
C45006	Samsung Electronics Co. Ltd
88329B	Samsung Electro-Mechanics(Thailand)
BC8CCD	Samsung Electro-Mechanics(Thailand)
400E85	Samsung Electro-Mechanics(Thailand)
EC9BF3	Samsung Electro-Mechanics(Thailand)
F8042E	Samsung Electro-Mechanics(Thailand)
843838	Samsung Electro-Mechanics(Thailand)
54880E	Samsung Electro-Mechanics(Thailand)
BC79AD	Samsung Electronics Co. Ltd
30D6C9	Samsung Electronics Co. Ltd
B0DF3A	Samsung Electronics Co. Ltd
805719	Samsung Electronics Co. Ltd
78A873	Samsung Electronics Co. Ltd
041BBA	Samsung Electronics Co. Ltd
08FD0E	Samsung Electronics Co. Ltd
08D42B	Samsung Electronics Co. Ltd
00E3B2	Samsung Electronics Co. Ltd
C81479	Samsung Electronics Co. Ltd
F0728C	Samsung Electronics Co. Ltd
94350A	Samsung Electronics Co. Ltd
001FCD	Samsung Electronics Co. Ltd
D0DFC7	Samsung Electronics Co. Ltd
1C62B8	Samsung Electronics Co. Ltd
18E2C2	Samsung Electronics Co. Ltd
F04347	Huawei Technologies Co. Ltd
9CB2B2	Huawei Technologies Co. Ltd
84BE52	Huawei Technologies Co. Ltd
001A8A	Samsung Electronics Co. Ltd
002567	Samsung Electronics Co. Ltd
A8F274	Samsung Electronics Co. Ltd
B07870	Wi-NEXT, Inc.
001599	Samsung Electronics Co. Ltd
0012FB	Samsung Electronics Co. Ltd
7CF854	Samsung Electronics Co. Ltd
8CC8CD	Samsung Electronics Co. Ltd
E81132	Samsung Electronics Co. Ltd
A02195	Samsung Electronics Co. Ltd
840B2D	Samsung Electro Mechanics Co. Ltd
000278	Samsung Electro Mechanics Co. Ltd
F07BCB	Hon Hai Precision Ind. Co. Ltd
4C0F6E	Hon Hai Precision Ind. Co. Ltd
5C6D20	Hon Hai Precision Ind. Co. Ltd
90004E	Hon Hai Precision Ind. Co. Ltd
C0F8DA	Hon Hai Precision Ind. Co. Ltd
485AB6	Hon Hai Precision Ind. Co. Ltd
083E8E	Hon Hai Precision Ind. Co. Ltd
F4B7E2	Hon Hai Precision Ind. Co. Ltd
4437E6	Hon Hai Precision Ind. Co. Ltd
0016CF	Hon Hai Precision Ind. Co. Ltd
001C25	Hon Hai Precision Ind. Co. Ltd
C48E8F	Hon Hai Precision Ind. Co. Ltd
184F32	Hon Hai Precision Ind. Co. Ltd
441CA8	Hon Hai Precision Ind. Co. Ltd
A8474A	Hon Hai Precision Ind. Co. Ltd
08EDB9	Hon Hai Precision Ind. Co. Ltd
7CE9D3	Hon Hai Precision Ind. Co. Ltd
E4D53D	Hon Hai Precision Ind. Co. Ltd
C417FE	Hon Hai Precision Ind. Co. Ltd
38B1DB	Hon Hai Precision Ind. Co. Ltd
00234D	Hon Hai Precision Ind. Co. Ltd
00234E	Hon Hai Precision Ind. Co. Ltd
00265E	Hon Hai Precision Ind. Co. Ltd
541379	Hon Hai Precision Ind. Co. Ltd
1008B1	Hon Hai Precision Ind. Co. Ltd
701DC4	NorthStar Battery Company, LLC
801844	Dell Inc.
C80E14	AVM Audiovisuelles Marketing und Computersysteme GmbH
E0686D	Raybased AB
A45385	Weifang GoerTek Electronics Co. Ltd
98B039	Nokia
84262B	Nokia
94E98C	Nokia
E48184	Nokia
BC8D0E	Nokia
B0754D	Nokia
BC6B4D	Nokia
A47B2C	Nokia
00D0F6	Nokia
48F8E1	Nokia
002341	Vanderbilt International (SWE) AB
981333	zte Corporation
8C71F8	Samsung Electronics Co. Ltd
04180F	Samsung Electronics Co. Ltd
9463D1	Samsung Electronics Co. Ltd
0CDFA4	Samsung Electronics Co. Ltd
CC051B	Samsung Electronics Co. Ltd
68EBAE	Samsung Electronics Co. Ltd
60D0A9	Samsung Electronics Co. Ltd
60A10A	Samsung Electronics Co. Ltd
A07591	Samsung Electronics Co. Ltd
D814D6	SURE SysTEM Co Ltd
646184	Velux
001FCC	Samsung Electronics Co. Ltd
EC01E2	Foxconn Interconnect Technology
00F22C	Shanghai B-star Technology Co. Ltd
D03DC3	AQ Corporation
FCCAC4	LifeHealth, LLC
04BA36	Li Seng Technology Ltd
DCF090	Private
4409B8	Salcomp (Shenzhen) Co. Ltd
78888A	CDR Sp. z o.o. Sp. k.
F09838	Huawei Technologies Co. Ltd
18DED7	Huawei Technologies Co. Ltd
EC107B	Samsung Electronics Co. Ltd
A01081	Samsung Electronics Co. Ltd
001EAE	Continental Automotive Systems Inc.
9CF48E	Apple
FCD848	Apple
8048A5	Sichuan Tianyi Comheart Telecomco. Ltd
645D92	Sichuan Tianyi Comheart Telecomco. Ltd
D44165	Sichuan Tianyi Comheart Telecomco. Ltd
643AB1	Sichuan Tianyi Comheart Telecomco. Ltd
AC64DD	IEEE Registration Authority
00010D	Teledyne DALSA Inc.
F09FC2	Ubiquiti Networks Inc.
0418D6	Ubiquiti Networks Inc.
44D9E7	Ubiquiti Networks Inc.
48DA96	Eddy Smart Home Solutions Inc.
503AA0	Shenzhen Mercury Communication Technologies Co. Ltd
C025E9	TP-Link Technologies Co. Ltd
50B363	Digitron da Amazonia S/A
94B819	Nokia
DC0B34	LG Electronics (Mobile Communications)
A4D9A4	neXus ID Solutions AB
484D7E	Dell Inc.
F4B549	Xiamen Yeastar Information Technology Co. Ltd
9C3DCF	Netgear
28EED3	Shenzhen Super D Technology Co. Ltd
18F292	Shannon Systems
3C3F51	2CRSI
F4F524	Motorola Mobility LLC, a Lenovo Company
50584F	waytotec,Inc.
00A2EE	Cisco Systems Inc.
98E476	Zentan
18F76B	Zhejiang Winsight Technology Co. Ltd
00609B	AstroNova, Inc
B87CF2	Aerohive Networks Inc.
C413E2	Aerohive Networks Inc.
F09CE9	Aerohive Networks Inc.
CCC5EF	Co-Comm Servicios Telecomunicaciones S.L.
5C6B4F	Hello Inc.
C09C04	Shaanxi GuoLian Digital TV Technology Co. Ltd
D0F73B	Helmut Mauell GmbH Werk Weida
D00AAB	Yokogawa Digital Computer Corporation
AC233F	Shenzhen Minew Technologies Co. Ltd
000E58	Sonos, Inc.
2C598A	LG Electronics (Mobile Communications)
E0508B	Zhejiang Dahua Technology Co. Ltd
2C6FC9	Hon Hai Precision Ind. Co. Ltd
9C99A0	Xiaomi Communications Co Ltd
185936	Xiaomi Communications Co Ltd
98FAE3	Xiaomi Communications Co Ltd
640980	Xiaomi Communications Co Ltd
8CBEBE	Xiaomi Communications Co Ltd
F8A45F	Xiaomi Communications Co Ltd
508A0F	Shenzhen Fise Technology Holding Co. Ltd
E4B005	Beijing IQIYI Science & Technology Co. Ltd
C83B45	JRI
1CEEC9	Elo touch solutions
4CB81C	SAM Electronics GmbH
2CDCAD	Wistron Neweb Corporation
704D7B	ASUSTek Computer Inc.
7CF95C	U.I. Lapp GmbH
743A65	NEC Corporation
C80CC8	Huawei Technologies Co. Ltd
0425C5	Huawei Technologies Co. Ltd
A4EE57	Seiko Epson Corporation
480033	Technicolor CH USA Inc.
14B31F	Dell Inc.
BC8385	Microsoft Corporation
A03D6F	Cisco Systems Inc.
40605A	Hawkeye Tech Co. Ltd
5419C8	vivo Mobile Communication Co. Ltd
C0210D	Shenzhen RF-Link Technology Co. Ltd
000678	D&M Holdings Inc.
886B44	Sunnovo International Limited
A408F5	Sagemcom Broadband SAS
54FA96	Nokia
1840A4	Shenzhen Trylong Smart Science and Technology Co. Ltd
9C50EE	Cambridge Industries(Group) Co. Ltd
1077B0	Fiberhome Telecommunication Technologies Co. Ltd
F015B9	PlayFusion Limited
70700D	Apple
24A7DC	BSkyB Ltd
2CD02D	Cisco Systems Inc.
3478D7	Gionee Communication Equipment Co. Ltd
1CEFCE	bebro electronic GmbH
CCB8A8	AMPAK Technology, Inc.
5CFF35	Wistron Corporation
78F29E	Pegatron Corporation
00D0B2	Xiotech Corporation
000AE4	Wistron Corporation
00262D	Wistron Corporation
908674	Sichuan Tianyi Comheart Telecomco. Ltd
F49651	NAKAYO Inc
681FD8	Siemens Industry, Inc.
C43018	MCS Logic Inc.
FCB58A	Wapice Ltd
DCEFCA	Murata Manufacturing Co. Ltd
E865D4	Tenda Technology Co. LtdDongguan branch
285261	Cisco Systems Inc.
286F7F	Cisco Systems Inc.
089E08	Google, Inc.
00014F	Adtran Inc
045D4B	Sony Corporation
A80CCA	Shenzhen Sundray Technologies Company Limited
94652D	OnePlus Technology (Shenzhen) Co. Ltd
F8A34F	zte Corporation
845A81	ffly4u
347877	O-Net Communications (Shenzhen) Limited
F483E1	Shanghai Clouder Semiconductor Co. Ltd
8CC8F4	IEEE Registration Authority
08CCA7	Cisco Systems Inc.
7868F7	YSTen Technology Co. Ltd
704F57	TP-Link Technologies Co. Ltd
3407FB	Ericsson AB
6CB4A7	Landauer, Inc.
1C398A	Fiberhome Telecommunication Technologies Co. Ltd
F8A5C5	Cisco Systems Inc.
A49B13	Digital Check
542F8A	Tellescom Industria E Comercio EM Telecomunicacao
DCC64B	Huawei Technologies Co. Ltd
043389	Huawei Technologies Co. Ltd
A0A33B	Huawei Technologies Co. Ltd
6854C1	ColorTokens, Inc.
887873	Intel Corporation
6C750D	WiFiSONG
E45D51	SFR
346E9D	Ericsson AB
B816DB	Chant Sincere Co. Ltd
D461FE	Hangzhou H3C Technologies Co., Limited
54E1AD	LCFC(HeFei) Electronics Technology Co. Ltd
94F551	Cadi Scientific Pte Ltd
BC452E	Knowledge Development for POF S.L.
E8D11B	Askey Computer Corp
44032C	Intel Corporation
14987D	Technicolor CH USA Inc.
D4CF37	Symbolic IO
283F69	Sony Mobile Communications AB
F0D2F1	Amazon Technologies Inc.
8871E5	Amazon Technologies Inc.
7C5049	Apple
F0A225	Private
E048AF	Premietech Limited
2C3311	Cisco Systems Inc.
503A7D	AlphaTech PLC Int'l Co. Ltd
BC024A	HMD Global Oy
9CFCD1	Aetheris Technology (Shanghai) Co. Ltd
949901	Shenzhen YITOA Digital Appliance Co. Ltd
E89E0C	Private
D8A105	Syslane, Co. Ltd
C4B9CD	Cisco Systems Inc.
10954B	Megabyte Ltd
900628	Samsung Electronics Co. Ltd
C4700B	Guangzhou Chip Technologies Co. Ltd
D4AE05	Samsung Electronics Co. Ltd
3C0518	Samsung Electronics Co. Ltd
04946B	Tecno Mobile Limited
A04C5B	Shenzhen TINNO Mobile Technology Corp.
98DDEA	Infinix mobility limited
D4619D	Apple
B0481A	Apple
989E63	Apple
DCA904	Apple
48A195	Apple
6CAB31	Apple
503237	Apple
000889	Echostar Technologies Corp
2C029F	3ALogics
58D9D5	Tenda Technology Co. LtdDongguan branch
60E78A	Unisem
6C5976	Shanghai Tricheer Technology Co. Ltd
F4A739	Juniper Networks
2CFAA2	Alcatel-Lucent Enterprise
00D095	Alcatel-Lucent Enterprise
4095BD	NTmore.Co. Ltd
2CABEB	Cisco Systems Inc.
BC66DE	Shadow Creator Information Technology Co. Ltd
A0086F	Huawei Technologies Co. Ltd
C4FF1F	Huawei Technologies Co. Ltd
7C7B8B	Control Concepts, Inc.
C40BCB	Xiaomi Communications Co Ltd
D8C06A	Hunantv.com Interactive Entertainment Media Co. Ltd
9C32A9	Sichuan Tianyi Comheart Telecomco. Ltd
601466	zte Corporation
30D386	zte Corporation
900E83	Monico Monitoring, Inc.
E8BBA8	Guangdong Oppo Mobile Telecommunications Corp. Ltd
BC3AEA	Guangdong Oppo Mobile Telecommunications Corp. Ltd
8C0EE3	Guangdong Oppo Mobile Telecommunications Corp. Ltd
6C5C14	Guangdong Oppo Mobile Telecommunications Corp. Ltd
F894C2	Intel Corporation
7CB960	Shanghai X-Cheng telecom Ltd
A8D579	Beijing Chushang Science and Technology Co. Ltd
28C63F	Intel Corporation
600837	ivvi Scientific(Nanchang)Co.Ltd
D860B3	Guangdong Global Electronic Technology Co. Ltd
3C9509	Liteon Technology Corporation
44B412	Sius AG
3CA308	Texas Instruments
60D7E3	IEEE Registration Authority
00F82C	Cisco Systems Inc.
00C1B1	Cisco Systems Inc.
D0F88C	Motorola (Wuhan) Mobility Technologies Communication Co. Ltd
2CB115	Integrated Device Technology (Malaysia) Sdn. Bhd.
78ABBB	Samsung Electronics Co. Ltd
1816C9	Samsung Electronics Co. Ltd
FC8F90	Samsung Electronics Co. Ltd
244B03	Samsung Electronics Co. Ltd
988389	Samsung Electronics Co. Ltd
14BB6E	Samsung Electronics Co. Ltd
1C3ADE	Samsung Electronics Co. Ltd
F83F51	Samsung Electronics Co. Ltd
D8E0E1	Samsung Electronics Co. Ltd
50FF20	Keenetic Limited
ECF342	Guangdong Oppo Mobile Telecommunications Corp. Ltd
D4C1C8	zte Corporation
EC237B	zte Corporation
881544	Cisco Meraki
F44156	Arrikto Inc.
D4258B	Intel Corporation
B4F2E8	ARRIS Group, Inc.
D0E54D	ARRIS Group, Inc.
7085C6	ARRIS Group, Inc.
44AAF5	ARRIS Group, Inc.
005094	ARRIS Group, Inc.
FC8E7E	ARRIS Group, Inc.
00E18C	Intel Corporation
903EAB	ARRIS Group, Inc.
14CFE2	ARRIS Group, Inc.
900DCB	ARRIS Group, Inc.
207355	ARRIS Group, Inc.
C83FB4	ARRIS Group, Inc.
E0B70A	ARRIS Group, Inc.
78719C	ARRIS Group, Inc.
D40598	ARRIS Group, Inc.
946269	ARRIS Group, Inc.
8C7F3B	ARRIS Group, Inc.
40B7F3	ARRIS Group, Inc.
20E564	ARRIS Group, Inc.
90B134	ARRIS Group, Inc.
3C438E	ARRIS Group, Inc.
E86D52	ARRIS Group, Inc.
0015D0	ARRIS Group, Inc.
001DCE	ARRIS Group, Inc.
001DD4	ARRIS Group, Inc.
001DCD	ARRIS Group, Inc.
CCA462	ARRIS Group, Inc.
D039B3	ARRIS Group, Inc.
0000C5	ARRIS Group, Inc.
3C36E4	ARRIS Group, Inc.
00ACE0	ARRIS Group, Inc.
384C90	ARRIS Group, Inc.
D40AA9	ARRIS Group, Inc.
48D343	ARRIS Group, Inc.
E02202	ARRIS Group, Inc.
2C1DB8	ARRIS Group, Inc.
E45740	ARRIS Group, Inc.
0023A3	ARRIS Group, Inc.
64ED57	ARRIS Group, Inc.
0023EE	ARRIS Group, Inc.
002143	ARRIS Group, Inc.
0023AF	ARRIS Group, Inc.
001ADE	ARRIS Group, Inc.
00159A	ARRIS Group, Inc.
00080E	ARRIS Group, Inc.
0050E3	ARRIS Group, Inc.
94CCB9	ARRIS Group, Inc.
001E46	ARRIS Group, Inc.
0018C0	ARRIS Group, Inc.
001A66	ARRIS Group, Inc.
00192C	ARRIS Group, Inc.
0025F1	ARRIS Group, Inc.
F87B7A	ARRIS Group, Inc.
5856E8	ARRIS Group, Inc.
145E45	Kaleao Limited
88D7F6	ASUSTek Computer Inc.
1C1FD4	LifeBEAM Technologies Ltd
88BD78	Flaircomm Microelectronics,Inc.
5092B9	Samsung Electronics Co. Ltd
B4BFF6	Samsung Electronics Co. Ltd
C8D7B0	Samsung Electronics Co. Ltd
60720B	BLU Products Inc
F4A997	Canon Inc.
3C4CD0	Ceragon Networks
B04E26	TP-Link Technologies Co. Ltd
FC06ED	M2Motive Technology Inc.
54C9DF	FN-Link Technology Limited
30C3D9	Alps Electric Co. Ltd
FC4D8C	Shenzhen Pante Electronics Technology Co. Ltd
B01F29	Helvetia Inc.
8C147D	IEEE Registration Authority
CC0677	Fiberhome Telecommunication Technologies Co. Ltd
28070D	Guangzhou Winsound Information Technology Co. Ltd
7038EE	Avaya Inc
2CF4C5	Avaya Inc
C8F406	Avaya Inc
3CB15B	Avaya Inc
FCA841	Avaya Inc
50CD22	Avaya Inc
10CDAE	Avaya Inc
B0ADAA	Avaya Inc
00549F	Avaya Inc
6049C1	Avaya Inc
0C6F9C	Shaw Communications Inc.
1801E3	Bittium Wireless Ltd
C0AC54	Sagemcom Broadband SAS
40F201	Sagemcom Broadband SAS
C891F9	Sagemcom Broadband SAS
4CFF12	Fuze Entertainment Co. Ltd
0059AC	KPN. B.V.
AC9A22	NXP Semiconductors
006037	NXP Semiconductors
546009	Google, Inc.
A47733	Google, Inc.
94EB2C	Google, Inc.
28BC56	EMAC, Inc.
287CDB	Hefei  Toycloud Technology Co. Ltd
D0B33F	Shenzhen TINNO Mobile Technology Corp.
00738D	Shenzhen TINNO Mobile Technology Corp.
A8CA7B	Huawei Technologies Co. Ltd
ACCF85	Huawei Technologies Co. Ltd
0CD746	Apple
440010	Apple
2435CC	Zhongshan Scinan Internet Of Things Co. Ltd
2C27D7	Hewlett-Packard Company
000F3D	D-Link Corporation
001195	D-Link Corporation
0015E9	D-Link Corporation
0CFD37	SUSE Linux GmbH
2CFF65	Oki Electric Industry Co. Ltd
001CF0	D-Link Corporation
00265A	D-Link Corporation
ACF1DF	D-Link International
FC7516	D-Link International
7C18CD	E-TRON Co. Ltd
3897D6	Hangzhou H3C Technologies Co., Limited
C8478C	Beken Corporation
E498D6	Apple
606944	Apple
8896B6	Global Fire Equipment S.A.
188796	HTC Corporation
AC2A0C	CSR Zhuzhou Institute Co. Ltd
F4CA24	FreeBit Co. Ltd
000A57	Hewlett-Packard Company
643150	Hewlett-Packard Company
002376	HTC Corporation
0007E9	Intel Corporation
B46D83	Intel Corporation
E4FAFD	Intel Corporation
DC5360	Intel Corporation
780CB8	Intel Corporation
484520	Intel Corporation
004026	Buffalo.Inc
0002A5	Hewlett-Packard Company
A02BB8	Hewlett-Packard Company
6CC217	Hewlett-Packard Company
3863BB	Hewlett-Packard Company
CC3E5F	Hewlett-Packard Company
7446A0	Hewlett-Packard Company
443192	Hewlett-Packard Company
FC15B4	Hewlett-Packard Company
EC9A74	Hewlett-Packard Company
80C16E	Hewlett-Packard Company
D07E28	Hewlett-Packard Company
7403BD	Buffalo.Inc
101F74	Hewlett-Packard Company
001A4B	Hewlett-Packard Company
001F29	Hewlett-Packard Company
00215A	Hewlett-Packard Company
000F61	Hewlett-Packard Company
001185	Hewlett-Packard Company
001279	Hewlett-Packard Company
001708	Hewlett-Packard Company
2832C5	HUMAX Co. Ltd
EC4D47	Huawei Technologies Co. Ltd
88CF98	Huawei Technologies Co. Ltd
6CE3B6	Nera Telecommunications Ltd
942CB3	HUMAX Co. Ltd
0452F3	Apple
241EEB	Apple
F431C3	Apple
C4F57C	Brocade Communications Systems, Inc.
8C7CFF	Brocade Communications Systems, Inc.
000CDB	Brocade Communications Systems, Inc.
006069	Brocade Communications Systems, Inc.
C87B5B	zte Corporation
98F537	zte Corporation
001E73	zte Corporation
0019C6	zte Corporation
0015EB	zte Corporation
F0EBD0	Shanghai Feixun Communication Co. Ltd
D8490B	Huawei Technologies Co. Ltd
888603	Huawei Technologies Co. Ltd
F8E811	Huawei Technologies Co. Ltd
E09796	Huawei Technologies Co. Ltd
CCCC81	Huawei Technologies Co. Ltd
101B54	Huawei Technologies Co. Ltd
7054F5	Huawei Technologies Co. Ltd
D07AB5	Huawei Technologies Co. Ltd
C40528	Huawei Technologies Co. Ltd
3CDFBD	Huawei Technologies Co. Ltd
14B968	Huawei Technologies Co. Ltd
80717A	Huawei Technologies Co. Ltd
F49FF3	Huawei Technologies Co. Ltd
784B87	Murata Manufacturing Co. Ltd
28A183	Alps Electric Co. Ltd
5CF8A1	Murata Manufacturing Co. Ltd
6021C0	Murata Manufacturing Co. Ltd
84DBAC	Huawei Technologies Co. Ltd
C07009	Huawei Technologies Co. Ltd
E0191D	Huawei Technologies Co. Ltd
B8BC1B	Huawei Technologies Co. Ltd
241FA0	Huawei Technologies Co. Ltd
50A72B	Huawei Technologies Co. Ltd
C85195	Huawei Technologies Co. Ltd
00F81C	Huawei Technologies Co. Ltd
F4559C	Huawei Technologies Co. Ltd
283CE4	Huawei Technologies Co. Ltd
64A5C3	Apple
001D0F	TP-Link Technologies Co. Ltd
5C63BF	TP-Link Technologies Co. Ltd
B0487A	TP-Link Technologies Co. Ltd
388345	TP-Link Technologies Co. Ltd
14E6E4	TP-Link Technologies Co. Ltd
647002	TP-Link Technologies Co. Ltd
6466B3	TP-Link Technologies Co. Ltd
6CE873	TP-Link Technologies Co. Ltd
08E84F	Huawei Technologies Co. Ltd
04BD70	Huawei Technologies Co. Ltd
18C58A	Huawei Technologies Co. Ltd
04C06F	Huawei Technologies Co. Ltd
5C4CA9	Huawei Technologies Co. Ltd
4C5499	Huawei Technologies Co. Ltd
00259E	Huawei Technologies Co. Ltd
001882	Huawei Technologies Co. Ltd
00906F	Cisco Systems Inc.
0090A6	Cisco Systems Inc.
0090AB	Cisco Systems Inc.
7426AC	Cisco Systems Inc.
B000B4	Cisco Systems Inc.
2834A2	Cisco Systems Inc.
641225	Cisco Systems Inc.
544A00	Cisco Systems Inc.
5067AE	Cisco Systems Inc.
BC16F5	Cisco Systems Inc.
6899CD	Cisco Systems Inc.
F44E05	Cisco Systems Inc.
0CF5A4	Cisco Systems Inc.
5CFC66	Cisco Systems Inc.
D0A5A6	Cisco Systems Inc.
