# ieee-iab.txt -- Ethernet vendor IAB file for arp-scan
#
# This file contains the Ethernet vendor IABs for arp-scan.  These are used
# to determine the vendor for a give Ethernet interface given the MAC address.
#
# Each line of this file contains an IAB-vendor mapping in the form:
#
# <IAB><TAB><Vendor>
#
# Where <IAB> is the first 36 bits of the MAC address in hex, and <Vendor>
# is the name of the vendor.
#
# Blank lines and lines beginning with "#" are ignored.
#
# This file was automatically generated by get-iab at 2006-06-25 12:59:22
# using data from http://standards.ieee.org/regauth/oui/iab.txt
#
0050C2000	T.L.S. Corp.
0050C22EE	SHF Communication Technologies AG
0050C22EF	Profline B.V.
0050C22F0	LECO Corporation
0050C22F1	Geometrics, Inc.
0050C22F2	Eurotek Srl
0050C22F3	Crossbow Technology, Inc.
0050C22F4	Efficient Channel Coding
0050C22F5	ADChips
0050C22F6	Clifford Chance LLP
0050C22F7	GILLAM-FEI S.A.
0050C22F8	SavvyCorp.com Ltd
0050C22F9	Digilent Inc.
0050C22FA	Tornado Modular Systems, Ltd
0050C22FB	Arthur Industries Inc., dba On Hold Media Group
0050C22FC	Blackline Systems Corporation
0050C22FD	American Microsystems LTD
0050C22FE	AerotechTelub AB
0050C22FF	Patria Advanced Solutions
0050C2300	Soredex Instrumentarium Oyj
0050C2301	Delphi Display Systems, Inc.
0050C2302	EuroDesign embedded technologies GmbH
0050C2303	CI Systems Ltd.
0050C2304	COMERSON S.r.l.
0050C2305	Symbium Corporation
0050C2306	Noran Tel Communications Ltd.
0050C2307	UNIONDIGITAL.,CO.LTD
0050C2308	FiveCo Sarl
0050C2309	Rackmaster Systems, Inc.
0050C230A	Innings Telecom Inc.
0050C230B	VX Technologies Inc.
0050C230C	TEAMLOG
0050C230D	SETARAM
0050C230E	Obvius
0050C230F	Digicontrole Lda
0050C2310	CYBERTRON CO., LTD.
0050C2311	Comodo
0050C2312	Dese Technologies SL
0050C2313	SAIA Burgess Controls AG
0050C2314	MicroBee Systems, Inc
0050C2315	ifak system GmbH
0050C2316	Dataline AB
0050C2317	Cosine Systems, Inc.
0050C2318	Milmega Ltd
0050C2319	Invatron Systems Corp.
0050C231A	INSNEC ZODIAC
0050C231B	Datacon
0050C231C	Casa Systems Inc.
0050C231D	Prolificx Ltd
0050C231E	C3-ilex, LLC
0050C231F	Geotech Instruments, LLC
0050C2320	DTASENSOR S.p.A.
0050C2321	UXP
0050C2322	BQT Solutions (Australia) Limited
0050C2323	Red Rock Networks
0050C2324	ODIXION
0050C2325	Federal Aviation Administration
0050C2326	Navionics S.p.A.
0050C2327	Dornier GmbH
0050C2328	I.C.S. Electronics Limited
0050C2329	Imax
0050C232A	PHYTEC Meßtechnik GmbH
0050C232B	Digital Multimedia Technologies Spa
0050C232C	Integrated Silicon Solution (Taiwan), Inc.
0050C232D	Consens Zeiterfassung GMBH
0050C232E	MANUSA-GEST, S.L.
0050C232F	PULTRONICS
0050C2330	Sicon S.r.l.
0050C2331	Broadcast Sports Inc
0050C2332	PUNJAB COMMUNICATIONS LTD
0050C2333	Radix Corporation
0050C2334	Picture Elements, Inc.
0050C2335	Nimcat Networks
0050C2336	Golden River Traffic
0050C2337	ETI
0050C2338	Ernitec A/S
0050C2339	CEGELEC SUD EST
0050C233A	United Telecoms Ltd
0050C233B	Multimedia
0050C233C	SkipJam
0050C233D	General Dynamics Decision Systems
0050C233E	CA Technology, Inc
0050C233F	EXYS bvba
0050C2340	Virtu
0050C2341	Novx Systems Canada Inc.
0050C2342	St. Michael Strategies
0050C2343	ABB Xiamen Switchgear Co. Ltd.
0050C2344	ads-tec GmbH
0050C2345	ACT, Unit 8 Tallaght Business Centre
0050C2346	biokeysystem
0050C2347	Row Seven Ltd
0050C2348	KoolSpan, Inc.
0050C2349	SSI Schaefer Peem
0050C234A	NIE Corporation
0050C234B	Ecutel Systems, Inc.
0050C234C	Chuo Electric Works Co., LTD.
0050C234D	BMK professional electronics GmbH
0050C234E	ABB Power Technologies S.p.A.  Unità Operativa SACE (PTMV)
0050C234F	North Pole Engineering, Inc.
0050C2350	Kinesys Projects Limited
0050C2351	Finesystem Co., Ltd
0050C2352	edixia
0050C2353	Crossing Informationssysteme GmbH
0050C2354	Advanced IP Communications
0050C2355	IHM
0050C2356	Baytech Cinema
0050C2357	Athena Semiconductor
0050C2358	ALCEA
0050C2359	Kramer Electronics Ltd.
0050C235A	Advanced Si-Net Co., LTD.
0050C235B	VLSIP TECHNOLOGIES, INC
0050C235C	Ratotec GmbH
0050C235D	NetTest A/S
0050C235E	Jobin Yvon,Inc
0050C235F	F.Imm. S.r.L.
0050C2360	Digital Receiver Technology, Inc.
0050C2361	Contec
0050C2362	AZD Praha s.r.o.
0050C2363	Septentrio nv/sa
0050C2364	TATTILE SRL
0050C2365	Vishay Nobel AB
0050C2366	Vanguard Technology Corp.
0050C2367	CANMAX Technology Ltd.
0050C2368	ASPEL S.A.
0050C2369	Always On Wireless
0050C236A	Optronic Partner pr AB
0050C236B	Minerva Technology Inc
0050C236C	Rokonet Electronics LTD
0050C236D	Oplink Communications
0050C236E	Minicom Advanced Systems Ltd
0050C236F	SOFTHARD Technology Ltd
0050C2370	Europe Technologies
0050C2371	DIGITAL ART SYSTEM
0050C2372	ELV Elektronik AG
0050C2373	Companion Worlds, inc.
0050C2374	Owasys Advanced Wireless Devices
0050C2375	TIR Systems Ltd.
0050C2376	CLEODE
0050C2377	Xycom VME
0050C2378	Daintree Networks Inc
0050C2379	Control LAN S.A.
0050C237A	IDA Corporation
0050C237B	freescale semiconductor
0050C237C	MODIA SYSTEMS Co., Ltd
0050C237D	VeroTrak Inc.
0050C237E	Ni.Co. S.r.l.
0050C237F	Foresearch
0050C2380	EKE-Electronics Ltd.
0050C2381	Realtime Engineering AG
0050C2382	Colorado vNet
0050C2383	ICS Electronics
0050C2384	Wireless Reading Systems Holding ASA
0050C2385	SUNGJIN NEOTECH Co.Ltd.
0050C2386	Precision System Science Co.,Ltd
0050C2387	Inoteska s.r.o.
0050C2388	IEE Inc
0050C2389	Exavio Inc.
0050C238A	Embedtronics Enterprise
0050C238B	InterBridge,Inc.
0050C238C	EPSILON SRL
0050C238D	A&G Soluzioni Digitali
0050C238E	Nordic Alarm AB
0050C238F	TTC Telecom
0050C2390	TC Communications
0050C2391	Esensors, Inc.
0050C2392	PHYTEC Messtechnik GmbH
0050C2393	SYS TEC electronic GmbH
0050C2394	Embedit A/S
0050C2395	vidisys gmbh
0050C2396	RapidWave Inc.
0050C2397	MANGO DSP Ltd.
0050C2398	InHand Electronics, Inc.
0050C2399	Advanced Micro Controls Inc.
0050C239A	Optical Air Data Systems
0050C239B	YUYAMA MFG. CO., LTD.
0050C239C	TIYODA MFG CO.,LTD.
0050C239D	DigitalDeck, Inc.
0050C239E	A.R.G ElectroDesign Ltd
0050C239F	Isensix
0050C23A0	StreetFire Sound Labs, LLC
0050C23A1	Samsoft
0050C23A2	Vegas Amusement
0050C23A3	Star Link Communication Pvt. Ltd.
0050C23A4	Silvertree Engineering Ltd
0050C23A5	LabJack Corporation
0050C23A6	IntelliDesign Pty Ltd
0050C23A7	Elektrotechnik & Elektronik Oltmann GmbH
0050C23A8	Engim, Inc.
0050C23A9	Westronic Systems Inc.
0050C23AA	Networked Robotics Corporation
0050C23AB	taskit Rechnertechnik GmbH
0050C23AC	InAccess Networks
0050C23AD	Spirent Communications (Scotland) Limited
0050C23AE	Hankuk Tapi Computer Co., Ltd
0050C23AF	Norbit AS
0050C23B0	Microtarget Tecnologia Digital Ltda.
0050C23B1	RDC Specstroy-Svyaz Ltd
0050C23B2	Tennessee Valley Authority
0050C23B3	Media Lab., Inc.
0050C23B4	Contrôle Analytique inc.
0050C23B5	NEC/TOKIN
0050C23B6	Arecont Vision, LLC
0050C23B7	Mindspeed Technologies
0050C23B8	Keith & Koep GmbH
0050C23B9	Autotank AB
0050C23BA	PHYTEC Messtechnik GmbH
0050C23BB	Strampe Systemelektronik GmbH & Co. KG
0050C23BC	Tyzx, Inc.
0050C23BD	Bigbang L.T.D.
0050C23BE	Pauly Steuer- und Regelanlagen GmbH & Co. KG
0050C23BF	Audio Processing Technology Ltd
0050C23C0	EDA Industries Srl
0050C23C1	MicroTek Electronics, Inc.
0050C23C2	Casabyte Inc.
0050C23C3	4g Technologies, L.P.
0050C23C4	Sypris Electronics
0050C23C5	Silicon Optix Canada Inc.
0050C23C6	Net Optics
0050C23C7	Salent Technologies Ltd
0050C23C8	Wheels of Zeus Inc.
0050C23C9	Dilax Intelcom AG
0050C23CA	ABB Inc.
0050C23CB	Analytica GmbH
0050C23CC	LINKWELL TELESYSTEMS PRIVATE LIMITED
0050C23CD	Vishay Micro-Measurements
0050C23CE	Ward Leonard Electric Company
0050C23CF	Technovare Systems, Inc.
0050C23D0	Micro-Robotics Limited
0050C23D1	Braintronics BV
0050C23D2	Adilec Enginyeria SL
0050C23D3	American LED-gible Inc.
0050C23D4	WISNU AND SUPAK
0050C23D5	Fluke Biomedical, Radiation Management Services
0050C23D6	Comlab Inc.
0050C23D7	TTC TELEKOMUNIKACE Ltd
0050C23D8	Key Systems , Inc.
0050C23D9	Bavaria Digital Technik GmbH
0050C23DA	M5 Data Limited
0050C23DB	Osmetech Inc.
0050C23DC	3D perception
0050C23DD	ELMIC GmbH
0050C23DE	ABB Power Technologies
0050C23DF	BiODE Inc.
0050C23E0	Oy Stinghorn Ltd
0050C23E1	NeuLion Incorporated
0050C23E2	SysNova
0050C23E3	CSIRO - Division of Exploration and Mining
0050C23E4	CUE, a.s.
0050C23E5	Vacon Plc
0050C23E6	CRDE
0050C23E7	Revolution Education Ltd
0050C23E8	Conformative Systems, Inc.
0050C23E9	ProxyMed
0050C23EA	Alro Information Systems SA
0050C23EB	ISS International
0050C23EC	Teneros
0050C23ED	The Board Room Inc.
0050C23EE	Commoca, Inc
0050C23EF	PAT Industries, DBA Pacific Advanced Technology
0050C23F0	megatec electronic GmbH
0050C23F1	Salland Electronics Holding BV
0050C23F2	STL GmbH
0050C23F3	University of Mannheim - Chair of Electrical Engineering
0050C23F4	Ria - Btr. Produktions GmbH
0050C23F5	Phaedrus Limited
0050C23F6	dAFTdATA Limited
0050C23F7	Advantage R&D
0050C23F8	Superna Ltd
0050C23F9	Sintium Ltd
0050C23FA	Tumsan
0050C23FB	Pigeon Point Systems
0050C23FC	Weinberger Deutschland GmbH
0050C23FD	HARTMANN software GbR
0050C23FE	HaiVision Systems Incorporated
0050C23FF	Cast Iron Systems
0050C2400	SmartMotor AS
0050C2401	Promess Incorporated
0050C2402	Numeron Sp. z o.o.
0050C2403	TOPEX PUBLIC SWITCHING S.A.
0050C2404	NanShanBridge Co.Ltd
0050C2405	Guralp Systems Limited
0050C2406	CoreStreet, Ltd
0050C2407	AIE Etudes
0050C2408	TERN, Inc.
0050C2409	KTEC LTD
0050C240A	Contec Steuerungstechnik & Automation GmbH
0050C240B	Center VOSPI JSC
0050C240C	Applied Materials UK Ltd
0050C240D	Afonics Fibreoptics Ltd
0050C240E	ads-tec GmbH
0050C240F	BIR,INC.
0050C2410	Grossenbacher Systeme AG
0050C2411	Multimessage Systems Ltd.
0050C2412	TSB Solutions Inc.
0050C2413	Goodrich
0050C2414	Talleres de Escoriaza SA
0050C2415	SensoTech GmbH
0050C2416	SELCO s.r.l.
0050C2417	QT systems ab
0050C2418	Planea Oy
0050C2419	Mecsel Oy
0050C241A	Bluewater Systems Ltd
0050C241B	LogiM GmbH Software und Entwicklung
0050C241C	Infrasafe, Inc.
0050C241D	Altronic, Inc.
0050C241E	Videotek Sistemas Eletronicos Ltda.
0050C241F	Avionica, Inc
0050C2420	Boundless Technologies
0050C2421	EFSYS
0050C2422	Gekeler Martina
0050C2423	Magnetek
0050C2424	Metrolab Instruments SA
0050C2425	Pinnacle Technology
0050C2426	STOM System
0050C2427	Scheidt & Bachmann GmbH
0050C2428	Roxar A/S
0050C2429	Matthews Australasia
0050C242A	DSP DESIGN
0050C242B	VLSIP TECHNOLOGIES, INC.
0050C242C	SIEMENS VDO
0050C242D	Argo-Tech
0050C242E	Oelmann Elektronik GmbH
0050C242F	Win4NET
0050C2430	Arcom Digital
0050C2431	Octatron, Inc.
0050C2432	Topway Industries Ltd.
0050C2433	Idetech Europe S.A.
0050C2434	ImperativeNetworks
0050C2435	ADATEL TELECOMUNICACIONES S.A.
0050C2436	Satellite Services BV
0050C2437	PowerWAN, Inc
0050C2438	Telecom Protection Technologies Limited
0050C2439	Peleton Photonic Systems
0050C243A	ProDesign GmbH
0050C243B	A3IP
0050C243C	LaBarge
0050C243D	Ann Arbor Sensor Systems LLC
0050C243E	PRIVATE
0050C243F	ARVOO Imaging Products BV
0050C2440	Advanced Modular Computers Ltd.
0050C2441	Sammi Information Systems Co.,Ltd
0050C2442	Pico Computing, Inc.
0050C2443	Pickering Laboratories
0050C2444	Offshore Systems Ltd
0050C2445	MICRONIC s.r.o.
0050C2446	Micro Technic A-S
0050C2447	Grupo Epelsa S.L.
0050C2448	Comtech Systems Inc.
0050C2449	BLEILE DATENTECHNIK GmbH
0050C244A	ELETTRONICA SANTERNO SPA
0050C244B	Solace Systems, Inc.
0050C244C	Computime Systems UK Ltd.
0050C244D	Electro-Matic Products, Inc.
0050C244E	QQ Technology,Inc
0050C244F	kippdata GmbH
0050C2450	Enconair Ecological Chambers Inc.
0050C2451	HAMEG GmbH
0050C2452	SCAME SISTEMI s.r.l.
0050C2453	Erhardt + Leimer GmbH
0050C2454	Brivo Systems, LLC
0050C2455	AirCell, Inc.
0050C2456	DRDC Valcartier
0050C2457	Danbridge
0050C2458	HRZ data GmbH
0050C2459	PHYTEC Messtechnik GmbH
0050C245A	Funkwerk plettac electronic GmbH
0050C245B	Matra Electronique
0050C245C	Deister Electronic GmbH
0050C245D	Digital Engineering, Inc.
0050C245E	Halliburton - Sperry Drilling Service
0050C245F	T2C Marketing AB
0050C2460	Vitelnet
0050C2461	TATTILE SRL
0050C2462	CT Company
0050C2463	Codem Systems, Inc.
0050C2464	XYTAC system technologies
0050C2465	PDTS GmbH
0050C2466	LoNAP Limited
0050C2467	United Western Technologies
0050C2468	Network I/O
0050C2469	BiPOM Electronics, Inc.
0050C246A	ISE GmbH
0050C246B	EASYTECH GmbH
0050C246C	CAMCO GmbH
0050C246D	Paul Scherrer Institut (PSI)
0050C246E	Avenir Technologies Inc.
0050C246F	Neuroware
0050C2470	Cybectec inc.
0050C2471	Pixtree Technologies, inc.
0050C2472	KOP Ltd
0050C2473	Sensus Metering Systems Israel
0050C2474	Venue 1, Inc.
0050C2475	ISEPOS GmbH
0050C2476	Ascon S.p.a.
0050C2477	SEV Tidsystem AB
0050C2478	Metafix Inc.
0050C2479	Unlimited Bandwidth LLC
0050C247A	Efficient Channel Coding
0050C247B	Pitney Bowes, Inc
0050C247C	AUCONET GmbH
0050C247D	WIT Inc
0050C247E	Energie Umwelt Systemtechnik GmbH
0050C247F	BRIT Inc.
0050C2480	SELKOM GmbH
0050C2481	Computer Sciences Corp
0050C2482	PRIAMUS SYSTEM TECHNOLOGIES AG
0050C2483	SES
0050C2484	Kooltech LLC
0050C2485	PHYTEC Messtechnik GmbH
0050C2486	Safegate International AB
0050C2487	Eridon Corporation
0050C2488	DA SISTEMI SPA
0050C2489	EREE Electronique
0050C248A	Mobile Matrix, Inc.
0050C248B	ADS-TEC GmbH
0050C248C	UNITON AG
0050C248D	Metron Sp. z o.o.
0050C248E	Teledyne Tekmar
0050C248F	DENGYOSHA co.,LTD.
0050C2490	Cloanto Corporation
0050C2491	Fr. Sauter AG
0050C2492	TRAFSYS AS
0050C2493	Artis GmbH
0050C2494	Ultimate Technology, Inc.
0050C2495	VAZA Elektronik AB
0050C2496	Acutelogic Corporation
0050C2497	Advanced Driver Information Technology GmbH
0050C2498	Quartet Technology, Inc.
0050C2499	Trellia Networks
0050C249A	TelASIC Communications, Inc.
0050C249B	vg controls, inc
0050C249C	Envisacor Technologies Inc.
0050C249D	Critical Link
0050C249E	Armorlink CO .Ltd
0050C249F	PRIVATE
0050C24A0	Advanced technologies & Engineering (pty) Ltd
0050C24A1	Pigeon Point Systems
0050C24A2	SPECS GmbH
0050C24A3	Protium Technologies, Inc.
0050C24A4	IEEE P1609 WG
0050C24A5	Teledyne Monitor Labs
0050C24A6	BUYANG ELECTRONICS INDUSTRIAL CO., LTD.
0050C24A7	iseg Spezialelektronik GmbH
0050C24A8	CYJAYA Korea
0050C24A9	Faber Electronics BV
0050C24AA	HEINEN ELEKTRONIK GmbH
0050C24AB	JVF Communications Ltd
0050C24AC	Doramu Co.,Ltd.
0050C24AD	OpenPeak, Inc.
0050C24AE	ads-tec GmbH
0050C24AF	Orbis Oy
0050C24B0	Esmart Distribution Pte Ltd
0050C24B1	Nsfocus Information Technology Co.,Ltd
0050C24B2	TESLA, a.s.
0050C24B3	ANSA Corporation
0050C24B4	Matrix Audio Designs
0050C24B5	Valley Tecnologia
0050C24B6	General Resources Co., LTD.
0050C24B7	GFI Progiciels
0050C24B8	Shenzhen Hongdian Technologies.,Ltd
0050C24B9	Rose Technologies
0050C24BA	Mistletoe Technologies
0050C24BB	Protonic Holland
0050C24BC	Saia Burgess Controls AG
0050C24BD	Argon ST
0050C24BE	Digital Dynamics, Inc.
0050C24BF	PRIVATE
0050C24C0	Bio-logic Systems Corp
0050C24C1	Movaz Networks, Inc.
0050C24C2	Elbit Systems
0050C24C3	Quantum3D, Inc.
0050C24C4	Black Diamond Video, Inc.
0050C24C5	eXray Broadband Inc.
0050C24C6	Rubin Ltd.
0050C24C7	Transbit Sp.z o.o.
0050C24C8	Neets
0050C24C9	Scirocco AB
0050C24CA	Yarg Biometrics Limited
0050C24CB	Verint Systems Ltd
0050C24CC	ImpediMed Limited
0050C24CD	Adasoft AG
0050C24CE	Open Date Equipment Limited
0050C24CF	Ziehl-Abegg AG
0050C24D0	Radford Control Systems
0050C24D1	SLICAN sp. z o.o.
0050C24D2	Twoway CATV SERVICE INC.
0050C24D3	SOFTIN sp. z o.o.
0050C24D4	Herholdt Controls srl
0050C24D5	SEBA Design Pty Ltd
0050C24D6	Ingenieurbüro Schober
0050C24D7	Delta Tau Data Systems, Inc.
0050C24D8	Avantry Ltd.
0050C24D9	GE Security Kampro
0050C24DA	MEDIORNET GmbH
0050C24DB	Alfing Montagetechnik GmbH
0050C24DC	Ace Electronics Inc.
0050C24DD	Truteq Wireless (PTY) Ltd.
0050C24DE	General Dynamics
0050C24DF	Thermo Electron
0050C24E0	Telematrix
0050C24E1	Sue's Sound
0050C24E2	Applied Research Laboratories: UT
0050C24E3	Romteck Pty Ltd
0050C24E4	Embigence GmbH
0050C24E5	Sedo Systems Ltd
0050C24E6	Photonic Bridges  Inc.
0050C24E7	PRIVATE
0050C24E8	SATEL sp. z o.o.
0050C24E9	Seachange international
0050C24EA	PMC
0050C24EB	Mandozzi Elettronica SA
0050C24EC	Thales Defence Deutschland GmbH
0050C24ED	Lab X Technologies, LLC
0050C24EE	Beijing Corelogic Communication Co., Ltd.
0050C24EF	Creative Retail Entertainment
0050C24F0	ProxyMed
0050C24F1	Packet Island Inc.
0050C24F2	Tantronic AG
0050C24F3	Autronica Fire & Security
0050C24F4	O2RUN
0050C24F5	Monroe Electronics, Inc.
0050C24F6	REAL D
0050C24F7	WaveIP Ltd.
0050C24F8	Prodco International Inc.
0050C24F9	RTDS Technologies Inc.
0050C24FA	Cambridge Technology, Inc.
0050C24FB	BES Technology Group
0050C24FC	Hwayoung RF Solution Inc
0050C24FD	Network Automation mxc AB
0050C24FE	GEM ELETTRONICA Srl
0050C24FF	Dakty GmbH
0050C2500	Orenco Systems, Inc.
0050C2501	IBEX
0050C2502	Criterion Systems Limited
0050C2503	RESPIRONICS INC.
0050C2504	Aphex Systems Ltd.
0050C2505	Computerwise, Inc.
0050C2506	7+ Kft
0050C2507	Micro Connect Pty Ltd
0050C2508	PUTERCOM ENTERPRISE CO., LTD.
0050C2509	Hillcrest Laboratories, Inc.
0050C250A	Monitor Business Machines Ltd
0050C250B	Logic Beach Inc
0050C250C	AIRWISE TECHNOLOGY CO., LTD.
0050C250D	Clearsonics Pty. Ltd.
0050C250E	Fibresavers Corporation
0050C250F	Polystar Instruments AB
0050C2510	Summit Developmen
0050C2511	Tecna Srl
0050C2512	Linear Acoustic, Inc
0050C2513	Genie Network Resource Management Inc.
0050C2514	Tadian Electronics Systems LTD
0050C2515	Monaghan Engineering, Inc.
0050C2516	SOWA ELECTRIC CO., LTD.
0050C2517	Solid State Logic
0050C2518	Christ Elektronik GmbH
0050C2519	DBM, LLC
0050C251A	SpeasTech, Inc.
0050C251B	Beta Lasermike Ltd
0050C251C	TOA Systems
0050C251D	VELUX
0050C251E	Alcon Technologies
0050C251F	Traquair Data Systems, Inc.
0050C2520	McCain Traffic Supply
0050C2521	ARIS TECHNOLOGIES
0050C2522	Mark IV IDS Corp.
0050C2523	AMRDEC Prototype Integration Facility
0050C2524	Motec Pty Ltd
0050C2525	VASTech
0050C2526	AC SYSTEMS, s.r.o.
0050C2527	IRTrans
0050C2528	tattile srl
0050C2529	Phytec Messtechnik GmbH
0050C252A	OMNITRONICS PTY LTD
0050C252B	Sicon s.r.l.
0050C252C	VITEC MULTIMEDIA
0050C252D	Smartcom-Bulgaria AD
0050C252E	DSP DESIGN
0050C252F	Gesellschaft für Rationalisierung und Rechentechnik mbH
0050C2530	Innovation, Institute, Inc
0050C2531	Orion Technologies, Inc.
0050C2532	NVE Corporation
0050C2533	NanShanBridge Co.Ltd
0050C2534	Hyundai J. Comm
0050C2535	MMS Servis s.r.o.
0050C2536	C2 DIAGNOSTICS
0050C2537	DST CONTROL AB
0050C2538	BND Communications
0050C2539	Detection Technology Inc.
0050C253A	Image Control Design Limited
0050C253B	Teleks Co. Ltd.
0050C253C	Marposs SPA
0050C253D	Digital communications Technologies
0050C253E	Honeywell GNO
0050C253F	Ellips B.V.
0050C2540	Mesure Controle Commande
0050C2541	WAVES SYSTEM
0050C2542	AVerMedia Technologies, Inc.
0050C2543	DIGI SESN AG
0050C2544	Zetera
0050C2545	SecuInfo Co., Ltd.
0050C2546	Universidad de Chile Facultad de Medicina
0050C2547	BLANKOM Antennentechnik GmbH
0050C2548	I.T.W. Betaprint
0050C2549	Netsynt S.p.A.
0050C254A	IPTC Tech. Comm. AB
0050C254B	Innopsys
0050C254C	Sintecnos srl
0050C254D	Silent System
0050C254E	Convergent Design
0050C254F	Valtronic SA
0050C2550	LJU Industrieelektronik GmbH
0050C2551	Innovative Neurotroncs
0050C2552	Elfiq Inc.
0050C2553	ATH system
0050C2554	Weinzierl Engineering GmbH
0050C2555	Control Alternative Solutions, Inc.
0050C2556	Freiburger BlickZentrum
0050C2557	TOYO RADIO SYSTEMS CO., LTD.
0050C2558	Bedo Elektronik GmbH
0050C2559	Fail Safe Solutions LLC
0050C255A	Valde Systems, Inc.
0050C255B	MATRIX TELECOM PVT. LTD.
0050C255C	ads-tec GmbH
0050C255D	ACD Elektronik GmbH
0050C255E	HANZAS ELEKTRONIKA, SIA
0050C255F	Broad Reach Engineering
0050C2560	PRIVATE
0050C2561	Seitec Elektronik GmbH
0050C2562	C21 Technology Limited
0050C2563	ORTRAT, S.L.
0050C2564	Last Mile Gear
0050C2565	WORKPOWER TECNOLOGIA ELETRONICA LTDA-EPP
0050C2566	ubinetsys.co..ltd
0050C2567	Tess GmbH
0050C2568	GeoFocus, LLC
0050C2569	Twinwin Technplogy Co.,Ltd.
0050C256A	GRUPO EPELSA S. L.
0050C256B	Dataton Utvecklings AB
0050C256C	Targeted Technologies, LLC
0050C256D	Computrol Fuel Systems Inc.
0050C256E	LAB-EL ELEKTRONIKA LABORATORYJNA S.J.
0050C256F	GMA, LLC
0050C2570	Ellex Medical Pty Ltd
0050C2571	Oberon Service srl
0050C2572	Chell Instruments Ltd
0050C2573	DATAMICRO Co., Ltd.
0050C2574	Ingeniería Almudí
0050C2575	SOLYSTIC
0050C2576	Visi-tech Systems Ltd
0050C2577	Advanced Software Technologies
0050C2578	Delphi Display Systems, Inc.
0050C2579	Gastager Systemtechnik GmbH
0050C257A	Pigeon Point Systems
0050C257B	ptswitch
0050C257C	CYBERSYS
0050C257D	Sierra Video Systems
0050C257E	Digital Way
0050C257F	Orderite, Inc.
0050C2580	Buyang Electronics Industrial co.,Ltd.
0050C2581	Devitech ApS
0050C2582	AllSun A/S
0050C2583	Jünger Audio-Studiotechnik GmbH
0050C2584	Toyota Motorsport GmbH
0050C2585	Wireless Cables Inc
0050C2586	Genetix Ltd
0050C2587	Dynalco
0050C2588	Federal Electronics
0050C2589	HORIBA ABX
0050C258A	Dixell S.p.a.
0050C258B	Innovative Dynamics GmbH
0050C258C	Lattice Semiconductor Corp. (LPA)
0050C258D	ZAO
0050C258E	Penny & Giles Aerospace Ltd
0050C258F	XoIP Systems Pty Ltd
0050C2590	EM Motorsport Ltd
0050C2591	Grosvenor Technology Ltd
0050C2592	PaloDEx Group Oy
0050C2593	Broadlight
0050C2594	Pixel Velocity, Inc.
0050C2595	Callpod, Inc.
0050C2596	SPANSION
0050C2597	Nautel Ltd.
0050C2598	Bundesamt für Strahlenschutz
0050C2599	Fen Technology Limited
0050C259A	MultiTrode Pty Ltd
0050C259B	SAPEC
0050C259C	DELSAT GROUP S.A.
0050C259D	DSS Networks, Inc.
0050C259E	Legerity
0050C259F	ads-tec GmbH
0050C25A0	Rudolph Technologies, Inc.
0050C25A1	Vestfold Butikkdata AS
0050C25A2	Audiomatica Srl
0050C25A3	LUMEL S.A.
0050C25A4	Federal State Unitary Enterprise Experimental Factory for Sc
0050C25A5	Equipos de Telecomunicación Optoelectronicos, S.A.
0050C25A6	Plastic Logic
0050C25A7	Phytec Meßtechnik GmbH
0050C25A8	ETAP NV
0050C25A9	AYC Telecom Ltd
0050C25AA	Transenna AB
0050C25AB	Pulizzi Engineering, Inc.
0050C25AC	Kinemetrics, Inc.
0050C25AD	Emcom Systems
0050C25AE	CPS EUROPE B.V.
0050C25AF	DORLET S.A.
0050C25B0	INCOTEC GmbH
0050C25B1	Rosta Ltd
0050C25B2	Syntronic AB
0050C25B3	HITECOM System
0050C25B4	Terrascience Systems Ltd.
0050C25B5	RAFAEL
0050C25B6	Kontron (Beijing) Technology Co.,Ltd.
0050C25B7	AVerMedia Technologies, Inc.
0050C25B8	WestfaliaSurge GmbH
0050C25B9	Taiwan Video & Monitor
0050C25BA	SAIA Burgess Controls AG
0050C25BB	UNIC TECHNOLOGIES INC
0050C25BC	Guangzhou Hui Si Information Technologies Inc.
0050C25BD	Nomus Comm-Systems
0050C25BE	Card Access Services Pty Ltd
0050C25BF	Techimp Systems S.r.l.
0050C25C0	Pyott-Boone Electronics
0050C25C1	R. L. Drake Company
0050C25C2	Intuitive Surgical
0050C25C3	KS System GmbH
0050C25C4	ProMik GmbH
0050C25C5	Radiant Imaging, Inc.
0050C25C6	Technische Alternative GmbH
0050C25C7	InSync Technology Ltd
0050C25C8	Georgia Tech Research Institute
0050C25C9	Shenzhen Quanlong Technique Co.Ltd
0050C25CA	Buyang Electronics Industrial Co., Ltd.
0050C25CB	Kobold Sistemi s.r.l.
0050C25CC	ENSEO
0050C25CD	RADA Electronics Industries Ltd.
0050C25CE	Roke Manor Research Ltd
0050C25CF	Innomed Medical Inc
0050C25D0	Automata Spa
0050C25D1	Meucci Solutions
0050C25D2	Laske Oy
0050C25D3	Wexiodisk AB
0050C25D4	Buyang Electronics Industrial Co., Ltd.
0050C25D5	Cannon Technologies
0050C25D6	BioAccess Tecnologia em Biometria Ltda.
0050C25D7	Synrad, Inc.
0050C25D8	TECHNIFOR SAS
0050C25D9	Crimson Microsystems, Inc.
0050C25DA	TONNA ELECTRONIQUE
0050C25DB	CEGELEC SUD EST
